,description
3197,"Deep pineapple and orange fruit is wrapped in a deep, toasty oak envelope in this Russian River classic. There are complex nutty, leesy, burnt sugar and even vaguely meaty notes on the nose. These open to a big-bodied but earthy and stony palate where bright, citrusy fruit and vanilla accents also vie for attention. Tightly wound, the burnt-toast and mineral finish is long and tasty, with more vanilla, smoke and apple accents. Top Value."
3198,"This Chardonnay reads on the nose and palate like key lime pie. Sweet and sour citrus notes are offset by graham cracker, vanilla and ginger snap. This is great juice with plenty of dimension—at once smooth and full, creamy and spicy. Don't drink it for dessert, though—try it with grilled chicken in a citrus and spice marinade. Top Value."
3199,"A winning nose offers aromas of créme brulée, smoked bacon, pears, peaches and toasty vanilla that just keep coming on in this stylish, full wine. The palate shows similar flavors. The big mouthfeel continues on the long, slightly sweet finish with its toasty, smoky oak. Strong already, but it should be even better in six months. From the maker of the fine affordable and widely available Katherine's Vineyard Chardonnay. Top Value."
3200,"This wine's fat, tropical fruit, banana and toast nose has a pungent, spicy Gewürztraminer quality. The palate is the payoff. It shows the aforementioned elements, plus cinnamon, clove and vanilla flavors. What you get is a ripe, unctuous wine—big, maybe even a bit overblown, but totally lovable. The long, spicy finish of this unique bottling is impressive."
3201,"A seductive nose of pineapple, pear, vanilla and buttered toast leads, followed by a nicely knit, well-fruited, but not-at-all sweet palate. Here, pear, melon, pineapple and tangerine is offset by light toast and vanilla accents. Balanced and smoothly textured, it shows graceful restraint that suggests it will improve over the next year or two."
3202,"Lots of spice along with a veritable fruit cocktail of complex flavors open this understated performer. From green apple and bosc pears to melon and mint, it has an elegant integration of fruit and spicy, vanillin oak. Tangy acidity keeps it lively, and the wine finishes crisp and dry. Still tight, this could use a year to knit itself together."
3203,"A winning combination of pear, apple, ripe melon and butterscotch flavors, spiked with spicy clove and tart citrus accents. Lavishly oaked for a mid-weight wine, there's sufficient depth of fruit here to support the wood, and the elements mesh and hold nicely. An easy, lush mouthfeel means it's best enjoyed over the next year or so—if you can keep it around that long."
3204,"This is a big, delicious mèlange of pineapple, pears, buttered popcorn and coconut vying with mineral and toasty oak elements. Fat and friendly, it's got the goods to hold the taster's interest. The “California Cuvée” designation means that it's made of fruit from many places—more proof that good bottles are not all vineyard designates or single AVA wines. Enjoy now and over the next two years."
3205,"An anise note adds dimension to an already attractive lime, toast, melon and buttery bouquet. With beautiful balance, subtle peach, nut and crème brûlée flavors come together in a very attractive palate. This is as lithe and balanced as a ballerina on pointe. This Rutherford treat has a long, warm and smoky-caramel flavored finish."
3206,"At 2,523 cases, this is fabled grower Rochioli's largest-production Chardonnay. The bouquet sings with complex roasted nut, pineapple, citrus, toast and banana aromas. Tart apple and anise flavors play off the sweet caramel and vanillin oak to create an elegant balance on the palate. Persistent fruit and smoky accents on the finish—it's hard to resist. Top Value."
3207,"It's said that Dick Arrowood personally checks every bottle that goes out—his attention to detail shows here. A complex and refined bouquet of toasted oat, coconut, orange and peach opens to a full palate of apple, yellow plum and caramel flavors. Rich and creamily textured, it is also high on spice and smoky oak. The complex finish is very long, leesy and elegantly nuanced."
3208,"A blend of half barrel-fermented wine with half tank-fermented, this is a ripe, fruit cocktail of a wine, blending tropical fruit with smoke, vanilla and citrus. Soft and easy to drink."
3209,"Colored a deep green/gold, this thick and viscous Chardonnay is packed with flavors of peach, apricot and tropical stone fruits. It seems Australian in its weight and fruit power, though the acids typical of Washington grapes give it some additional lift. There's just enough oak to provide a nice dusting of spice. Definitely a wine to drink young."
3210,"Simple, with earthy flavors and thinned-down peaches and apples. There's a little oak. Finishes dry and crisp."
3211,"Simple, with canned peach and apricot flavors and a slightly sweet finish."
3212,"Kind of soft and thin, but there's a nice, dry Chardonnay character and enough peaches and cream flavors smoky oak and creamy texture to satisfy."
3213,"Rough and ready, this is a dry, crisply tart wine with thinned-down citrusy flavors that will do in a pinch."
3214,"Ripe and juicy, with pineapple, pear, apricot, vanilla and buttered toast flavors. This is a nice everyday Chardonnay. From Talley."
3215,"The aroma suggests a ton of oak, and that impression carries over to the flavors. Butterscotch, buttered toast, caramel, crème brûlée, they're all tasty, but you don't want them to dominate, and here, they do. The underlying flavors of pineapples are swamped."
3216,"The underlying wine in Beringer's '05 Reserve is a rich blend of tropical fruit, peach, pear and apple flavors. But the wine is overoaked, with 75% new wood in the barrel fermentation. Anyone sensitive to the taste of new oak will instantly recognize the immense cosmetic of smoky char, sweet vanilla, buttered toast and spicy, sappy wood essence, which seems excessive and not really needed."
3217,"Very rich and ripe, showing pineapple tart and oak-infused vanilla, meringue and buttered toast aromas and flavors. A bit lacking in structure, though, with a soft, melted mouthfeel. Could be firmer and crisper to balance all that decadence."
3218,"Long known for their powerful, elegant Chardonnays, Chalk Hill's 1998 offering is impressive for its complex array of aromas and flavors. The toasty, leesy, popcorn elements adorn full, richly nuanced sweet pear, pineapple and peach flavors. A lovely, smooth mouthfeel with a slight granular quality adds texture and interest. This refined wine exudes finesse and refinement."
3219,"A winning wine that displays a vibrantly fragrant tangerine, citrus and herb-butter bouquet. It opens to a full, dense tropical-fruit palate and shows an almost seamless texture. Tangy oak plays off the lingering fruit nuances on this bottling's lengthy, luxurious finish."
3220,"One of a back-to-back pair of strong performances from Foley, this wine opens with well-defined herb, caramel and cream nose. Ripe apple and toasted oak flavors round out the rich, buttery palate. The citrus and peach finish goes on forever. Shows complexity, but with a straight-ahead style that make it a real pleaser. Great now."
3221,"Bob Lindquist's 1999 offering displays a lovely opening of tropical fruit and vanilla custard beneath a smoky veil. The palate's understated nectarine, pear, pineapple flavors are bolstered by firm but not sharp acidity. The mouthfeel is crisp; the wine's fine structure shows through the tangy, nut-pepper finish. Already impressive, but warrants cellaring for two or three years. Top Value."
3222,"An intoxicating bouquet of clove, ripe orange, peach and melon promises a lot, but this wine delivers. The similarly heady palate of creamy, ripe tropical fruit is almost romantic, the richly textured mouthfeel full and lush. Finishes long in the same sensuous manner. Drink now for its exuberant fruit and voluptuous feel. Like Paul, his wines exude style and character."
